customer_id,score,score_date
541,493,2024-02-17
214,820,2024-10-08
667,711,2024-09-12
914,576,2024-08-30
416,940,2024-09-17
102,935,2024-03-06
994,452,2024-10-15
594,727,2024-12-05
405,-1,2024-03-01
889,652,2024-05-17
495,691,2023-10-22
729,402,2024-07-29
139,593,2024-06-15
540,742,2024-04-11
358,375,2023-08-15
986,518,2024-01-16
533,497,2023-12-24
156,488,2024-01-30
520,-1,2023-10-20
87,498,2024-07-30
840,903,2025-01-15
437,571,2024-05-27
583,366,2025-01-13
942,-1,2024-05-16
952,720,2025-04-03
991,529,2023-08-14
709,509,2024-10-13
236,808,2023-10-25
743,672,2024-12-22
478,602,2025-06-01
73,856,2025-02-01
600,780,2025-02-17
871,-1,2025-01-24
859,644,2023-09-22
112,747,2023-07-05
420,492,2025-02-26
26,684,2023-11-10
841,612,2025-03-13
451,810,2024-10-21
796,351,2025-01-13
888,256,2024-09-22
722,813,2025-02-05
203,753,2024-02-25
522,312,2024-07-13
441,696,2023-10-10
721,884,2023-10-19
627,419,2024-10-14
153,-1,2023-11-23
341,833,2024-03-06
290,366,2024-03-10
802,-1,2023-12-01
778,380,2025-06-14
249,919,2023-12-01
962,544,2024-12-26
213,583,2024-05-14
19,646,2024-12-01
453,523,2023-07-07
269,924,2024-11-14
229,750,2024-11-18
68,469,2024-03-12
794,457,2023-12-14
29,790,2024-04-29
454,561,2024-10-25
428,850,2025-04-23
268,879,2025-03-05
263,752,2025-05-16
896,666,2024-10-07
15,719,2025-06-04
583,856,2024-12-26
33,828,2024-07-28
109,862,2024-03-23
448,762,2024-07-18
706,608,2025-03-23
441,512,2023-07-30
27,829,2025-05-12
645,665,2024-01-31
713,573,2024-01-02
312,409,2023-06-30
722,860,2024-11-12
292,782,2023-10-09
406,332,2025-05-23
233,268,2024-11-04
829,769,2025-02-01
228,699,2023-12-06
53,574,2025-02-24
653,568,2024-09-03
541,509,2024-03-31
843,773,2025-06-17
928,300,2024-02-13
23,-1,2024-02-29
52,517,2023-08-17
95,844,2024-02-19
560,251,2024-08-04
777,284,2023-08-16
26,420,2024-08-27
340,506,2025-03-24
136,637,2025-02-27
812,-1,2023-09-19
842,588,2024-02-06
293,697,2024-06-13
634,356,2025-06-04
452,455,2025-01-12
498,623,2024-09-10
576,730,2023-10-08
824,351,2024-12-01
916,774,2025-06-25
670,613,2023-10-06
774,863,2023-09-28
134,887,2024-05-20
416,943,2025-03-02
276,-1,2023-06-27
123,527,2025-06-19
447,265,2024-10-26
713,906,2025-02-22
703,441,2023-07-22
611,585,2024-09-08
588,295,2023-08-01
116,444,2025-01-01
689,252,2024-12-26
919,-1,2023-08-06
615,496,2023-08-09
905,618,2025-06-09
518,788,2025-01-18
840,287,2023-12-09
462,865,2024-06-22
304,483,2024-07-17
317,892,2024-01-05
290,824,2024-12-26
712,820,2023-07-14
918,430,2024-08-27
253,297,2024-06-05
632,744,2023-08-17
69,777,2023-08-27
767,693,2024-01-24
60,570,2025-06-20
363,401,2023-08-18
347,768,2025-05-25
641,875,2023-11-15
996,942,2024-04-01
53,-1,2024-11-15
800,779,2023-12-27
131,437,2025-03-17
909,284,2025-05-10
503,842,2025-01-30
673,577,2024-08-16
456,758,2023-12-07
464,919,2024-09-20
826,420,2024-11-30
892,390,2024-07-13
449,425,2024-01-30
36,370,2024-05-23
75,687,2025-01-13
34,753,2024-09-17
584,591,2024-04-05
824,734,2024-10-02
845,827,2024-05-28
297,688,2023-10-03
601,282,2024-01-04
520,387,2024-07-15
601,733,2024-03-04
309,-1,2024-04-01
799,325,2024-08-11
212,872,2025-05-24
586,744,2025-03-23
284,664,2023-10-11
844,849,2023-11-01
839,273,2023-07-26
927,321,2024-01-27
707,828,2023-11-20
721,941,2024-02-19
94,428,2023-12-29
772,849,2024-04-13
960,823,2024-01-18
649,261,2024-08-27
912,393,2023-12-16
544,476,2023-07-11
46,667,2024-11-18
411,934,2023-10-22
996,811,2024-02-10
263,266,2024-01-01
559,391,2024-10-12
193,794,2023-07-27
937,351,2024-09-15
674,-1,2024-11-25
644,506,2023-12-13
684,460,2023-07-09
10,510,2024-04-08
483,876,2025-02-04
390,400,2024-11-11
251,314,2025-06-13
149,925,2023-10-15
534,585,2025-04-15
719,712,2024-12-20
903,-1,2024-06-03
203,266,2025-06-02
362,457,2023-12-14
242,272,2024-01-19
987,929,2024-06-07
304,-1,2024-10-16
582,911,2025-03-09
630,-1,2023-09-10
459,590,2024-07-20
433,443,2024-09-13
91,541,2023-07-18
768,507,2023-11-10
183,494,2023-10-05
952,564,2024-02-08
322,460,2025-01-11
77,-1,2025-06-02
107,906,2025-02-20
745,288,2025-04-16
886,499,2024-09-04
91,829,2024-02-08
979,462,2024-09-16
877,826,2025-06-18
117,388,2023-12-20
194,317,2024-07-08
745,555,2023-07-20
950,822,2024-06-17
736,-1,2025-03-19
992,689,2024-12-13
792,894,2025-03-07
358,809,2025-06-23
465,612,2024-07-16
158,710,2024-01-28
252,632,2024-01-20
375,410,2023-10-12
255,600,2024-11-25
638,489,2025-06-25
297,457,2025-05-27
903,398,2025-06-20
153,351,2023-07-20
259,766,2024-08-24
327,917,2024-01-26
382,570,2024-01-23
627,-1,2024-02-06
187,554,2024-01-21
829,388,2023-07-21
