loan_id,customer_id,loan_type,amount_applied,status,application_date,approved_date
300000,958,Personal,203253.66,Approved,2024-10-26,2024-11-15
300001,545,Home,475161.62,Rejected,2024-10-17,2024-10-21
300002,232,Car,211997.24,Approved,2023-11-22,2023-12-02
300003,735,Education,47968.45,Approved,2024-02-17,2024-03-07
300004,342,Home,438294.01,Approved,2024-07-27,2024-07-26
300005,475,Education,122795.66,Rejected,2024-04-14,2024-04-25
300006,79,Personal,98233.91,Rejected,2024-11-18,2024-12-15
300007,419,Education,210983.90, Rejected,2025-05-01,2025-05-21
300008,943,Personal,394278.83,Approved,2024-02-20,2024-02-27
300009,520,Personal,223472.12,Approved,2025-06-19,2025-06-09
300010,423,Personal,N/A,Approved ,2025-01-04,2025-01-09
300011,479,Home,259181.17,Pending,2024-07-13,2024-07-29
300012,485,Home,92860.08,Pending,2024-11-26,2024-12-13
300013,119,Car,289377.55,Approved ,2024-04-16,2024-04-09
300014,484,Home,126397.00,Approved,2025-01-10,2025-01-09
300015,804,Car,192227.37,Approved,2024-10-18,2024-11-17
300016,713,Personal,252693.56,Approved,2024-05-06,2024-05-22
300017,113,Car,247246.69, Rejected,2024-12-09,2024-12-24
300018,517,Personal,N/A,Approved,2024-01-02,2024-02-01
300019,105,Car,334696.44,Approved,2025-04-06,2025-04-08
300020,948,Personal,189214.92, Rejected,2024-01-26,2024-01-16
300021,400,Home,335793.28,Pending,2024-12-25,2025-01-04
300022,815,Personal,473735.98, Rejected,2023-09-30,2023-09-20
300023,408,Education,406035.09,Approved ,2024-06-05,2024-06-27
300024,567,Car,2459.23, Rejected,2023-11-17,2023-11-29
300025,419,Education,490856.19,Approved,2023-09-18,2023-09-08
300026,494,Education,389784.92,Approved ,2024-10-06,2024-10-03
300027,287,Home,244783.72,Approved ,2023-08-23,2023-09-10
300028,259,Personal,162739.37,Approved,2024-03-12,2024-04-11
300029,836,Car,139257.01,Approved ,2025-02-13,2025-02-11
300030,91,Car,263162.44,Approved,2024-08-14,2024-09-10
300031,912,Education,197984.32,Approved ,2024-06-04,2024-06-28
300032,91,Car,N/A, Rejected,2024-12-22,2025-01-01
300033,525,Education,82006.83,Pending,2024-10-10,2024-10-29
300034,61,Car,94120.68,Rejected,2023-11-14,2023-11-23
300035,192,Education,N/A,Pending,2025-05-08,2025-05-22
300036,639,Education,167587.90,Pending,2025-03-02,2025-03-19
300037,526,Personal,222504.40,Rejected,2023-07-01,2023-07-31
300038,755,Car,343302.45,Rejected,2023-07-07,2023-07-15
300039,352,Education,265117.34,Approved ,2025-06-17,2025-06-26
300040,685,Home,239055.94,Approved,2024-08-30,2024-09-06
300041,253,Education,178086.28, Rejected,2025-03-25,2025-04-09
300042,181,Education,52160.25,Approved ,2024-05-29,2024-05-27
300043,967,Personal,216329.54,Approved,2024-07-20,2024-08-12
300044,809,Personal,494015.24,Rejected,2024-06-10,2024-07-08
300045,829,Education,191071.92,Approved ,2023-11-01,2023-11-24
300046,229,Car,159450.51,Approved,2024-04-28,2024-05-27
300047,601,Home,424490.83,Approved,2024-01-08,2024-01-24
300048,315,Car,327374.20,Approved,2023-09-30,2023-10-22
300049,705,Car,159171.47,Approved ,2024-10-05,2024-10-16
300050,34,Personal,367064.17,Pending,2025-01-29,2025-02-11
300051,826,Car,198520.77,Approved ,2024-01-15,2024-02-06
