transaction_id,account_id,transaction_date,transaction_type,amount,merchant,category
200000,10809,2025-03-26,debit,1289.75,"Thomas, Gonzales and Garcia",Shopping
200001,10234,2024-11-25,debit,665.94,"Schroeder, Clark and Johnson",Fuel
200002,10525,2025-01-31,debit,2848.78,Rivera LLC,Groceriess
200003,10535,2025-06-18,credit,3949.67,"Stanley, Day and Ferrell",Shopping
200004,11136,2024-09-22,credit,1272.02,Thompson Inc,Shopping
200005,10228,2024-11-18,debit,1845.6,"Watson, Pierce and Sims",Entertaiment
200006,10138,2024-10-02,debit,4381.65,"Wright, Reynolds and Price",Groceriess
200007,10084,2024-12-24,credit,7685.72,Merchant Unknown,Groceries
200008,10312,2025-06-14,debit,9218.48,Evans Group,Entertainment
200009,10115,2025-05-20,credit,9468.27,Fletcher-Price,Shopping
200010,10398,2025-04-04,debit,254.07,Reed Ltd,Entertainment
200011,11082,2025-02-03,credit,1434.49,Merchant Unknown,Shopping
200012,10133,2024-11-11,credit,6186.24,"Campbell, Miller and Burton",Salary
200013,10078,2024-10-07,credit,-6843.48,Merchant Unknown,Groceries
200014,10793,2025-04-09,credit,8570.17,Merchant Unknown,Grocerry
200015,10151,2025-07-24,debit,9372.17,"Wilson, Brown and Smith",Utilities
200016,10792,2024-07-01,credit,6829.13,Merritt Inc,Shopping
200017,10931,2025-01-11,credit,4542.78,"Davis, Cunningham and Jones",Utilities
200018,10357,2025-05-15,debit,9991.41,Vance-Garcia,Salary
200019,10042,2025-04-27,debit,1440.69,Monroe-Contreras,Fuel
200020,11108,2024-11-23,debit,1251.12,"Preston, Thornton and Scott",Entertainment
200021,10831,2025-01-30,debit,4606.35,Benson Group,Insurance
200022,10949,2024-10-15,debit,6654.07,Fitzgerald and Sons,Grocerry
200023,10421,2025-02-10,credit,5684.3,"Villarreal, Herrera and Roberts",Entertaiment
200024,10744,2025-02-28,debit,3748.79,Maddox Inc,Insurance
200025,10289,2025-05-07,debit,3003.9,Coleman Ltd,Entertaiment
200026,10844,2024-11-08,credit,3377.49,"Johnson, Barber and Richards",Grocerry
200027,10884,2025-03-27,debit,239.33,Wilson and Sons,Groceriess
200028,10352,2024-12-04,credit,6412.74,Chavez-Martinez,Fuel
200029,10842,2025-04-11,credit,8680.43,Fritz-Gutierrez,Salary
