customer_id,score,score_date
541,493.0,2024-02-17
214,820.0,2024-10-08
667,711.0,2024-09-12
914,576.0,2024-08-30
416,940.0,2024-09-17
102,935.0,2024-03-06
994,452.0,2024-10-15
594,727.0,2024-12-05
405,NULL,2024-03-01
889,652.0,2024-05-17
495,691.0,2023-10-22
729,402.0,2024-07-29
139,593.0,2024-06-15
540,742.0,2024-04-11
358,375.0,2023-08-15
986,518.0,2024-01-16
533,497.0,2023-12-24
156,488.0,2024-01-30
520,NULL,2023-10-20
87,498.0,2024-07-30
840,903.0,2025-01-15
437,571.0,2024-05-27
583,366.0,2025-01-13
942,NULL,2024-05-16
952,720.0,2025-04-03
991,529.0,2023-08-14
709,509.0,2024-10-13
236,808.0,2023-10-25
743,672.0,2024-12-22
478,602.0,2025-06-01
73,856.0,2025-02-01
600,780.0,2025-02-17
871,NULL,2025-01-24
859,644.0,2023-09-22
112,747.0,2023-07-05
420,492.0,2025-02-26
26,684.0,2023-11-10
841,612.0,2025-03-13
451,810.0,2024-10-21
796,351.0,2025-01-13
888,256.0,2024-09-22
722,813.0,2025-02-05
203,753.0,2024-02-25
522,312.0,2024-07-13
441,696.0,2023-10-10
721,884.0,2023-10-19
627,419.0,2024-10-14
153,NULL,2023-11-23
341,833.0,2024-03-06
290,366.0,2024-03-10
802,NULL,2023-12-01
778,380.0,2025-06-14
249,919.0,2023-12-01
962,544.0,2024-12-26
213,583.0,2024-05-14
19,646.0,2024-12-01
453,523.0,2023-07-07
269,924.0,2024-11-14
229,750.0,2024-11-18
68,469.0,2024-03-12
794,457.0,2023-12-14
29,790.0,2024-04-29
454,561.0,2024-10-25
428,850.0,2025-04-23
268,879.0,2025-03-05
263,752.0,2025-05-16
896,666.0,2024-10-07
15,719.0,2025-06-04
583,856.0,2024-12-26
33,828.0,2024-07-28
109,862.0,2024-03-23
448,762.0,2024-07-18
706,608.0,2025-03-23
441,512.0,2023-07-30
27,829.0,2025-05-12
645,665.0,2024-01-31
713,573.0,2024-01-02
312,409.0,2023-06-30
722,860.0,2024-11-12
292,782.0,2023-10-09
406,332.0,2025-05-23
233,268.0,2024-11-04
829,769.0,2025-02-01
228,699.0,2023-12-06
53,574.0,2025-02-24
653,568.0,2024-09-03
541,509.0,2024-03-31
843,773.0,2025-06-17
928,300.0,2024-02-13
23,NULL,2024-02-29
52,517.0,2023-08-17
95,844.0,2024-02-19
560,251.0,2024-08-04
777,284.0,2023-08-16
26,420.0,2024-08-27
340,506.0,2025-03-24
136,637.0,2025-02-27
812,NULL,2023-09-19
842,588.0,2024-02-06
293,697.0,2024-06-13
634,356.0,2025-06-04
452,455.0,2025-01-12
498,623.0,2024-09-10
576,730.0,2023-10-08
824,351.0,2024-12-01
916,774.0,2025-06-25
670,613.0,2023-10-06
774,863.0,2023-09-28
134,887.0,2024-05-20
416,943.0,2025-03-02
276,NULL,2023-06-27
123,527.0,2025-06-19
447,265.0,2024-10-26
