loan_id,customer_id,loan_type,amount_applied,status,application_date,approved_date
300000,958,personal,203253.66,APPROVED,2024-10-26,2024-11-15
300001,545,home,475161.62,rejected,2024-10-17,2024-10-21
300002,232,car,211997.24,APPROVED,2023-11-22,2023-12-02
300003,735,education,47968.45,APPROVED,2024-02-17,2024-03-07
300004,342,home,438294.01,approved,2024-07-27,2024-07-26
300005,475,education,122795.66,rejected,2024-04-14,2024-04-25
300006,79,personal,98233.91,rejected,2024-11-18,2024-12-15
300007,419,education,210983.9, REJECTED,2025-05-01,2025-05-21
300008,943,personal,394278.83,approved,2024-02-20,2024-02-27
300009,520,personal,223472.12,APPROVED,2025-06-19,2025-06-09
300010,423,personal,NULL,Approved ,2025-01-04,2025-01-09
300011,479,home,259181.17,pending,2024-07-13,2024-07-29
300012,485,home,92860.08,pending,2024-11-26,2024-12-13
300013,119,car,289377.55,Approved ,2024-04-16,2024-04-09
300014,484,home,126397.0,APPROVED,2025-01-10,2025-01-09
300015,804,car,192227.37,approved,2024-10-18,2024-11-17
300016,713,personal,252693.56,approved,2024-05-06,2024-05-22
300017,113,car,247246.69, REJECTED,2024-12-09,2024-12-24
300018,517,personal,NULL,APPROVED,2024-01-02,2024-02-01
300019,105,car,334696.44,APPROVED,2025-04-06,2025-04-08
300020,948,personal,189214.92, REJECTED,2024-01-26,2024-01-16
300021,400,home,335793.28,pending,2024-12-25,2025-01-04
300022,815,personal,473735.98, REJECTED,2023-09-30,2023-09-20
300023,408,education,406035.09,Approved ,2024-06-05,2024-06-27
300024,567,car,2459.23, REJECTED,2023-11-17,2023-11-29
300025,419,education,490856.19,approved,2023-09-18,2023-09-08
300026,494,education,389784.92,Approved ,2024-10-06,2024-10-03
300027,287,home,244783.72,Approved ,2023-08-23,2023-09-10
300028,259,personal,162739.37,approved,2024-03-12,2024-04-11
300029,836,car,139257.01,Approved ,2025-02-13,2025-02-11
300030,91,car,263162.44,approved,2024-08-14,2024-09-10
300031,912,education,197984.32,Approved ,2024-06-04,2024-06-28
300032,91,car,NULL, REJECTED,2024-12-22,2025-01-01
300033,525,education,82006.83,pending,2024-10-10,2024-10-29
300034,61,car,94120.68,rejected,2023-11-14,2023-11-23
300035,192,education,NULL,pending,2025-05-08,2025-05-22
300036,639,education,167587.9,pending,2025-03-02,2025-03-19
300037,526,personal,222504.4,rejected,2023-07-01,2023-07-31
300038,755,car,343302.45,rejected,2023-07-07,2023-07-15
300039,352,education,265117.34,Approved ,2025-06-17,2025-06-26
300040,685,home,239055.94,APPROVED,2024-08-30,2024-09-06
300041,253,education,178086.28, REJECTED,2025-03-25,2025-04-09
300042,181,education,52160.25,Approved ,2024-05-29,2024-05-27
300043,967,personal,216329.54,approved,2024-07-20,2024-08-12
300044,809,personal,494015.24,rejected,2024-06-10,2024-07-08
300045,829,education,191071.92,Approved ,2023-11-01,2023-11-24
300046,229,car,159450.51,approved,2024-04-28,2024-05-27
300047,601,home,424490.83,approved,2024-01-08,2024-01-24
300048,315,car,327374.2,APPROVED,2023-09-30,2023-10-22
300049,705,car,159171.47,Approved ,2024-10-05,2024-10-16
300050,34,personal,367064.17,pending,2025-01-29,2025-02-11
300051,826,car,198520.77,Approved ,2024-01-15,2024-02-06
300052,217,personal,316252.95,pending,2023-09-28,2023-09-26
